"NAME","CATEGORY","상가업소번호","상호명","상권업종대분류명","상권업종중분류명","시도명","시군구명","법정동명","지번주소","도로명","구우편번호","경도","위도","거리"
"산내들식당","한식","MA010120220812163357","산내들식당","음식","한식","서울특별시","마포구","도화동","서울특별시 마포구 도화동 173","서울특별시 마포구 마포대로",121745,126.9478042,37.54224639,186
"오븐에빠진닭","기타 간이","MA010120220812194404","오븐에빠진닭","음식","기타 간이","서울특별시","마포구","도화동","서울특별시 마포구 도화동 25-3","서울특별시 마포구 새창로",121812,126.9517407,37.54234447,411
"컴포즈커피마포","비알코올 ","MA010120220812098363","컴포즈커피마포","음식","비알코올 ","서울특별시","마포구","염리동","서울특별시 마포구 염리동 148-13","서울특별시 마포구 백범로",121872,126.945959,37.54631165,301
"마실면가","한식","MA010120220812176808","마실면가","음식","한식","서울특별시","마포구","도화동","서울특별시 마포구 도화동 25-13","서울특별시 마포구 마포대로",121812,126.9513151,37.54283627,355
"김재운초밥사랑","일식","MA010120220812164957","김재운초밥사랑","음식","일식","서울특별시","마포구","공덕동","서울특별시 마포구 공덕동 478","서울특별시 마포구 백범로",121862,126.9492466,37.54428658,158
"바른","기타 간이","MA010120220812137733","바른","음식","기타 간이","서울특별시","마포구","공덕동","서울특별시 마포구 공덕동 476","서울특별시 마포구 백범로",121805,126.9482444,37.54473719,113
"파운더커피","비알코올 ","MA010120220812088010","파운더커피","음식","비알코올 ","서울특별시","마포구","도화동","서울특별시 마포구 도화동 544","서울특별시 마포구 큰우물로",121704,126.9459339,37.54086012,366
"기와집","한식","MA010120220812085403","기와집","음식","한식","서울특별시","마포구","도화동","서울특별시 마포구 도화동 204-4","서울특별시 마포구 삼개로3길",121813,126.9478108,37.53855217,595
"청산별곱","한식","MA010120220812144499","청산별곱","음식","한식","서울특별시","마포구","도화동","서울특별시 마포구 도화동 26-3","서울특별시 마포구 새창로",121812,126.9527447,37.54175869,519
"미락도시락","한식","MA010120220812306334","미락도시락","음식","한식","서울특별시","마포구","도화동","서울특별시 마포구 도화동 36","서울특별시 마포구 마포대로",121796,126.9475381,37.5402437,407
"밀구름","기타 간이","MA010120220812216529","밀구름","음식","기타 간이","서울특별시","마포구","도화동","서울특별시 마포구 도화동 200-16","서울특별시 마포구 도화4길",121813,126.9513106,37.5407368,485
"나리떡볶이","기타 간이","MA010120220812262123","나리떡볶이","음식","기타 간이","서울특별시","마포구","도화동","서울특별시 마포구 도화동 25-10","서울특별시 마포구 새창로",121812,126.9521165,37.54217661,449
"만리동이모네","한식","MA010120220812280852","만리동이모네","음식","한식","서울특별시","마포구","공덕동","서울특별시 마포구 공덕동 256-10","서울특별시 마포구 만리재로",121803,126.9532456,37.54478163,514
"돈카츠준","일식","MA010120220812257098","돈카츠준","음식","일식","서울특별시","마포구","신공덕동","서울특별시 마포구 신공덕동 172","서울특별시 마포구 백범로",121802,126.9541152,37.54409553,582
"아비뉴24","비알코올 ","MA010120220812269070","아비뉴24","음식","비알코올 ","서울특별시","마포구","염리동","서울특별시 마포구 염리동 157-14","서울특별시 마포구 백범로24길",121873,126.9453545,37.54584672,288
"염리국수","한식","MA010120220812441136","염리국수","음식","한식","서울특별시","마포구","염리동","서울특별시 마포구 염리동 147-13","서울특별시 마포구 숭문2길",121872,126.945769,37.5469497,372
"바램","중식","MA010120220812275219","바램","음식","중식","서울특별시","마포구","도화동","서울특별시 마포구 도화동 26-8","서울특별시 마포구 새창로",121812,126.952836,37.54170544,529
"신강양꼬치","중식","MA010120220812468724","신강양꼬치","음식","중식","서울특별시","마포구","용강동","서울특별시 마포구 용강동 26-2","서울특별시 마포구 토정로37길",121875,126.9449891,37.54125716,369
"국수나무","한식","MA010120220812461864","국수나무","음식","한식","서울특별시","마포구","용강동","서울특별시 마포구 용강동 502","서울특별시 마포구 토정로31길",121070,126.9414648,37.54162207,591
"동신식당","한식","MA010120220812362114","동신식당","음식","한식","서울특별시","마포구","공덕동","서울특별시 마포구 공덕동 371","서울특별시 마포구 마포대로",121762,126.9506045,37.54590251,351
"파리크라상라그릴리아","기타 간이","MA010120220812414380","파리크라상라그릴리아","음식","기타 간이","서울특별시","마포구","도화동","서울특별시 마포구 도화동 25-13","서울특별시 마포구 마포대로",121812,126.9513151,37.54283627,355
"키먼트","기타 간이","MA010120220812340782","키먼트","음식","기타 간이","서울특별시","마포구","신공덕동","서울특별시 마포구 신공덕동 167","서울특별시 마포구 백범로",121802,126.9528798,37.54342682,476
"샐러디아","기타 간이","MA010120220812388392","샐러디아","음식","기타 간이","서울특별시","마포구","공덕동","서울특별시 마포구 공덕동 476","서울특별시 마포구 백범로",121805,126.9482444,37.54473719,113
"스위그뱅","서양식","MA010120220812389083","스위그뱅","음식","서양식","서울특별시","마포구","대흥동","서울특별시 마포구 대흥동 244-2","서울특별시 마포구 백범로16안길",121809,126.94323,37.54643143,471
"브루니치","비알코올 ","MA010120220812532981","브루니치","음식","비알코올 ","서울특별시","마포구","공덕동","서울특별시 마포구 공덕동 476","서울특별시 마포구 백범로",121805,126.9482444,37.54473719,113
"더벤티공덕롯데&인터섹션","비알코올 ","MA010120220812581831","더벤티공덕롯데&인터섹션","음식","비알코올 ","서울특별시","마포구","공덕동","서울특별시 마포구 공덕동 467","서울특별시 마포구 마포대로",121916,126.9508646,37.5451119,324
"뉴욕버거마포공덕","기타 간이","MA010120220812530578","뉴욕버거마포공덕","음식","기타 간이","서울특별시","마포구","신공덕동","서울특별시 마포구 신공덕동 173","서울특별시 마포구 백범로",121802,126.9533465,37.54242179,540
"사운드키친","기타 간이","MA010120220812503543","사운드키친","음식","기타 간이","서울특별시","마포구","염리동","서울특별시 마포구 염리동 157-22","서울특별시 마포구 백범로24길",121873,126.9450815,37.5459434,313
"메가커피","비알코올 ","MA010120220812511902","메가커피","음식","비알코올 ","서울특별시","마포구","도화동","서울특별시 마포구 도화동 181-1","서울특별시 마포구 새창로",121812,126.9510197,37.54211281,367
"라온사람들서울안심축산","한식","MA010120220812703112","라온사람들서울안심축산","음식","한식","서울특별시","마포구","용강동","서울특별시 마포구 용강동 512","서울특별시 마포구 토정로35길",121070,126.9439136,37.54049067,495
"굴국밥","한식","MA010120220812472449","굴국밥","음식","한식","서울특별시","마포구","염리동","서울특별시 마포구 염리동 168-9","서울특별시 마포구 독막로",121749,126.9474628,37.54399137,11
"양평신내해장국마포","한식","MA010120220812717346","양평신내해장국마포","음식","한식","서울특별시","마포구","용강동","서울특별시 마포구 용강동 508","서울특별시 마포구 토정로31길",121070,126.9437404,37.54234526,375
"파리바게뜨공덕역사","기타 간이","MA010120220812857590","파리바게뜨공덕역사","음식","기타 간이","서울특별시","마포구","공덕동","서울특별시 마포구 공덕동 439","서울특별시 마포구 백범로",121805,126.951928,37.54351749,391
"이디야커피마포","비알코올 ","MA010120220812751908","이디야커피마포","음식","비알코올 ","서울특별시","마포구","도화동","서울특별시 마포구 도화동 181-37","서울특별시 마포구 새창로",121812,126.9504891,37.542027,335
"핏하우스프레쉬바연희","기타 간이","MA010120220812484126","핏하우스프레쉬바연희","음식","기타 간이","서울특별시","마포구","공덕동","서울특별시 마포구 공덕동 476","서울특별시 마포구 백범로",121805,126.9482444,37.54473719,113
"양지식품","한식","MA010120220812753386","양지식품","음식","한식","서울특별시","마포구","도화동","서울특별시 마포구 도화동 181-37","서울특별시 마포구 새창로",121812,126.9504891,37.542027,335
"프로잭트101","한식","MA010120220812643705","프로잭트101","음식","한식","서울특별시","마포구","공덕동","서울특별시 마포구 공덕동 476","서울특별시 마포구 백범로",121805,126.9482444,37.54473719,113
"바른치킨공덕","기타 간이","MA010120220812635644","바른치킨공덕","음식","기타 간이","서울특별시","마포구","공덕동","서울특별시 마포구 공덕동 476","서울특별시 마포구 백범로",121805,126.9482444,37.54473719,113
"카페겟앤쇼","비알코올 ","MA010120220812655684","카페겟앤쇼","음식","비알코올 ","서울특별시","마포구","도화동","서울특별시 마포구 도화동 17-1","서울특별시 마포구 마포대로",121041,126.949782,37.54322811,213
"경성커피컴퍼니","비알코올 ","MA010120220812796226","경성커피컴퍼니","음식","비알코올 ","서울특별시","마포구","도화동","서울특별시 마포구 도화동 201-43","서울특별시 마포구 삼개로",121813,126.9476821,37.53965931,472
"카페대흥","비알코올 ","MA010120220812816110","카페대흥","음식","비알코올 ","서울특별시","마포구","대흥동","서울특별시 마포구 대흥동 255-2","서울특별시 마포구 대흥로",121809,126.9420562,37.5470156,593
